CAMMENU_0EV,0EV
COU_LENSCAPOFF,Снимите крышку объект. и выкл.
COU_LENSCAPOFF_2,питание, а потом снова включите
COU_LENSCOVER_OPEN,Откройте крышку объектива
COU_LENSCOVER_OPEN_2,для выполнения съемки
COU_LOWINK,Низкий уровень печатной
COU_LOWINK_2,краски
COU_MACRO_INVALID,Режим макро не действ
COU_MACRO_INVALID_2,
COU_MEDIAERROR_INTERNALMEMORY,Ошибка внутр. памяти
COU_MEDIAERROR_INTERNALMEMORY_2,
COU_METERING_INVALID,Операции режима фотометрии
COU_METERING_INVALID_2,недоступны
COU_MSR_NOTUSEFUNCTION,Функция не поддерживается этой
COU_MSR_NOTUSEFUNCTION_2,картой памяти Memory Stick
COU_MS_ERROR,Вставьте снова картупамяти
COU_MS_ERROR_2,Memory Stick
COU_MS_LOCKED,Карта памяти Memory Stick
COU_MS_LOCKED_2,заблокирована
COU_MS_TYPEERROR,Ошибка типа Memory Stick
COU_MS_TYPEERROR_2,
COU_NOBATTERY,Низкий заряд батареи
COU_NOIMAGE,Нет снимков
COU_NOIMAGE_2,
COU_NOIMAGE_PLAY,Какое-то изобр. не передано
COU_NOIMAGE_PLAY_2,Нераспознаваемый формат.
COU_NOINK,Нет печатной краски
COU_NOINK_2,
COU_NOMS,Нет Memory Stick
COU_NOMS_2,
COU_NOPAPER,Нет бумаги
COU_NOPAPER_2,
COU_NOSOFTWAREFILE,Нет программного файла
COU_NOSOFTWAREFILE_2,
COU_NOSPACE_INTERNALMEMORY,Нет места на внутренней
COU_NOSPACE_INTERNALMEMORY_2,памяти
COU_NOSPACE_MS,Нет места на карте памяти
COU_NOSPACE_MS_2,Memory Stick
COU_NOT_SELECTED_FAV,Нет выбр. Избранные
COU_NOT_SELECTED_FAV_2,
COU_NOT_SELECTED_IMAGES,Нет выбр. снимка
COU_NOT_SELECTED_IMAGES_2,
COU_NOT_SELECTED_SHARE,Не выбрана Метка совм. доступа
COU_NOT_SELECTED_SHARE_2,
COU_PAPERERROR,Ошибка бумаги
COU_PAPERERROR_2,
COU_PASSLOCK_CODE_MISS,Неправильный код сброса
COU_PASSLOCK_CODE_MISS_2,
COU_PASSLOCK_PASS_MISS,Неправильный пароль
COU_PASSLOCK_PASS_MISS_2,
COU_POWEROFFON,Выкл питан и вкл его снова
COU_POWEROFFON_2,
COU_PRINTERBUSY,Принтер занят
COU_PRINTERBUSY_2,
COU_PRINTERERROR,Ошибка принтера
COU_PRINTERERROR_2,
COU_READONLYMEMORY,Только чтение памяти
COU_READONLYMEMORY_2,
COU_READONLY_FOLDER,Папка только для чтения
COU_READONLY_FOLDER_2,
COU_REDEYE_DETECTED,Красные глаза не обнаружены
COU_REDEYE_DETECTED_2,
COU_SCRNTOUCH_INVALID,Сенсорный экран откл. в этой
COU_SCRNTOUCH_INVALID_2,зоне
COU_SELFTIMER_INVALID,Таймер самозаписи
COU_SELFTIMER_INVALID_2,не срабатывает
COU_SMILESHUTTER_AUTOONLY,Доступен только Smile Shutter
COU_SMILESHUTTER_AUTOONLY_2,когда реж. ЗАПИСИ уст. в "Авто"
COU_SYSTEMERROR,Ошибка системы
COU_SYSTEMERROR_2,
COU_TARGET_DETECTED,Невозможно обнаружить лицо
COU_TARGET_DETECTED_2,для ретуширования
COU_TARGET_NOIMAGE,Нет фотоснимков
COU_TARGET_NOIMAGE_2,
COU_ZOOM_INVALID,Увеличение отключено
COU_ZOOM_INVALID_2,
DUMMY,
GUIDE_BUTTON,Прикосн. к кнопке для использ.
GUIDE_CENTER,Прикосн. к точке для центрир.
GUIDE_CHANGEFOCUS,Изм. полож. фокуса прикоснов.
GUIDE_CHOOSEFOCUS,Выбер. пол. фокуса прикоснов.
GUIDE_DEMO_BACKLIGHT,Обнаружена подсветка
GUIDE_DEMO_BACKLIGHTPORTRAIT,Обнаружена подсветка и люди
GUIDE_DEMO_LANDSCAPE,Обнаружен ландшафт
GUIDE_DEMO_MACRO,Обнаружен близко распол. объект
GUIDE_DEMO_PORTRAIT,Обнаружены люди
GUIDE_DEMO_TRIPOD,Обнаружены сумерки и штатив
GUIDE_DEMO_TWILIGHT,Обнаружены сумерки
GUIDE_DEMO_TWILIGHTPORTRAIT,Обнаружены сумерки и люди
GUIDE_EFFECTLEVEL,Выбор уровня эффекта
GUIDE_EXIT_TOUCH,Вых. при прикосновении к ЖКД
GUIDE_LIGHTBEAM_LEVEL,Выбор уровня светового луча
GUIDE_RANGE,Выбор диапазона эффекта
