CAMMENU_0EV,0EV
CAMMODE_HIGHSENSITIVITY,Alta Sensibilid
CAMMODE_HIGHSENSITIVITY_GUIDE,Fotog. sem flash em baixa
CAMMODE_HIGHSENSITIVITY_GUIDE_2,luminosidade reduzindo desf
CAMMODE_HIGHSPEEDSHUTTER,Obtu. alta vel.
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Fotografa motivo em mov.
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,para parar acção
CAMMODE_LANDSCAPE,Paisagem
CAMMODE_LANDSCAPE_GUIDE,Fotografa paisagens
CAMMODE_LANDSCAPE_GUIDE_2,com foco distante
CAMMODE_MOVIE,Modo de Filme
CAMMODE_MOVIE_GUIDE,Grava filme com som
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Programa Automático
CAMMODE_PAUTO_GUIDE,Exposição auto com
CAMMODE_PAUTO_GUIDE_2,definições ajustáveis
CAMMODE_SNOW,Neve
CAMMODE_SNOW_GUIDE,Fotografa nitidamente
CAMMODE_SNOW_GUIDE_2,cena esbranquiçada
CAMMODE_SOFTSNAP,Foto suave
CAMMODE_SOFTSNAP_GUIDE,Fotografa motivo com
CAMMODE_SOFTSNAP_GUIDE_2,fundo suave
CAMMODE_TWILIGHT,Crepúsculo
CAMMODE_TWILIGHTPORTRAIT,Retr. crepúsculo
CAMMODE_TWILIGHTPORTRAIT_GUIDE,Fotografa retratos em
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,pouca luz com flash
CAMMODE_TWILIGHTTRIPOD_GUIDE,Fotografa cena de pouca luz
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,usando um tripé
CAMMODE_WATER,Subaquático
CAMMODE_WATER_GUIDE,Foto debaixo de água em
CAMMODE_WATER_GUIDE_2,cores naturais com Caixa
CLOCKMENU_APR,ABR
CLOCKMENU_AUG,AGO
CLOCKMENU_DEC,DEZ
CLOCKMENU_DMY,D-M-A
CLOCKMENU_FEB,FEV
CLOCKMENU_JAN,JAN
CLOCKMENU_JUL,JUL
CLOCKMENU_JUN,JUN
CLOCKMENU_MAR,MAR
CLOCKMENU_MAY,MAI
CLOCKMENU_MDY,M-D-A
CLOCKMENU_NOV,NOV
CLOCKMENU_OCT,OUT
CLOCKMENU_SEP,SET
CLOCKMENU_UNKNOWN,---
CLOCKMENU_YMD,A-M-D
COM_AUTO,Auto
COM_BACK,Atrás
COM_CANCEL,Cancelar
COM_CLEAR,Remover
COM_CLEARALL,Limpar tudo
COM_CONTINUE,Continuar
COM_CREATED,Criado
COM_ENTRY,Adicionar
COM_EXIT,Sair
COM_FAST,Rápida
COM_HIGH,Alto
COM_INTERNALMEMORY,Memória interna
COM_LOW,Baixo
COM_MED,Médio
COM_MIN,min
COM_MOVIEREC,GRAV
COM_MOVIESTBY,Espera
COM_MS,Memory Stick
COM_MS_AND_INTERNALMEMORY,Memory Stick ＋ Memória Interna
COM_NOOFFILES,Nº arquivos
COM_NORMAL,Normal
COM_OFF,Deslig
COM_OK,OK
COM_ON,Ligado
COM_PREVIEW,Pré-visual
COM_REMAIN,Fotos restantes
COM_SAVE,Guardar
COM_SLOW,Lenta
COM_STANDARD,Normal
COM_STANDARD2,Normal
COM_START,Iniciar
COM_USBMODE,Modo USB
COM_VOLUME,VOL.
COU_640FINE,640(Qualid. ) não disponível
COU_640FINE_2,
COU_AUDIOPLUGIN,Para saída de áudio, ligue uma
COU_AUDIOPLUGIN_2,ficha de áudio
COU_BATTERY_HEATED,Sobreaquecimento da câmara
COU_BATTERY_HEATED_2,Deixar arrefecer
COU_BATTERY_INFOLITHIUM,Só para bateria "InfoLITHIUM"
COU_BATTERY_INFOLITHIUM_2,
COU_BATTERY_INVALID,Para usar só com bateria compatível
COU_BATTERY_INVALID_2,
COU_BGM_ERROR,Erro de Música
COU_BGM_ERROR_2,
COU_BGM_FORMATERROR,Erro de formatação de música
COU_BGM_FORMATERROR_2,
COU_BURST_INVALID,Burst é inválido
COU_BURST_INVALID_2,
COU_CANNOTACCESS_MS,Não pode aced Memory Stick
COU_CANNOTACCESS_MS_2,Acesso negado
COU_CANNOTCREATE_FOLDERS,Não pode criar mais pastas
COU_CANNOTCREATE_FOLDERS_2,
COU_DATA_ERROR,Erro do ficheiro de gestão da
COU_DATA_ERROR_2,imagem
COU_ERROR10,Erro10
COU_ERROR20,Erro20
COU_ERROR30,Erro30
COU_ERROR40,Erro40
COU_ERROR50,Erro50
COU_EXCEEDED_LIMIT,Máximo de imagens seleccionadas
COU_EXCEEDED_LIMIT_2,
COU_FILEERROR,Erro arquivo
COU_FILEERROR_2,
COU_FILEPROTECT,Arquivo protegido
COU_FILEPROTECT_2,
COU_FLASHSETTING_INVALID,As definições do flash não
COU_FLASHSETTING_INVALID_2,podem ser alteradas
COU_FOLDER_ERROR,Erro pasta
COU_FOLDER_ERROR_2,
COU_FORMATERROR_INTERNALMEMORY,Erro de formatação da
COU_FORMATERROR_INTERNALMEMORY_2,memória interna
COU_FORMATERROR_MS,Erro de formatação do
COU_FORMATERROR_MS_2,Memory Stick
COU_IMAGESIZEOVER,Tam. imag. ultrap.
COU_IMAGESIZEOVER_2,
COU_INKERROR,Erro tinta
COU_INKERROR_2,
COU_INVALID_FILE,Arquivo inválido
COU_INVALID_FILE_2,
COU_INVALID_FOLDER,Operação não disponível com
COU_INVALID_FOLDER_2,Vista da Pasta
COU_INVALID_MS,Não pode guardar ficheiro gestão
COU_INVALID_MS_2,imagem para este Memory Stick
COU_INVALID_OPERATION,Operação inválida
COU_INVALID_OPERATION_HDOUT,Operação não pode ser executada
COU_INVALID_OPERATION_HDOUT_2,durante saída HD(1080i)
COU_INVALID_OPERATION_MOVIEFILE,Operação não pode ser
COU_INVALID_OPERATION_MOVIEFILE_2,executada em arq de filmes
COU_INVALID_OPERATION_NGFILE,Operação não pode ser executada
COU_INVALID_OPERATION_NGFILE_2,em arquivos não suportados
COU_INVALID_OPERATION_PICTBRIDGE,Operação não pode ser executada
COU_INVALID_OPERATION_PICTBRIDGE_2,quando usa uma ligação PictBridge
COU_INVALID_OPERATION_REMOTE,Operação não pode ser executada
COU_INVALID_OPERATION_REMOTE_2,por telecomando
COU_INVALID_OPERATION_TVOUT,Operação não pode ser executada
COU_INVALID_OPERATION_TVOUT_2,durante saída de TV
COU_LENSCAPOFF,Remova a tampa da lente e
COU_LENSCAPOFF_2,desligue e ligue a alimentação
COU_LENSCOVER_OPEN,Abrir a tampa da lente para
COU_LENSCOVER_OPEN_2,fotografar
COU_LOWINK,Pouca tinta
COU_LOWINK_2,
COU_MACRO_INVALID,Macro inválida
COU_MACRO_INVALID_2,
COU_MEDIAERROR_INTERNALMEMORY,Erro na memória interna
COU_MEDIAERROR_INTERNALMEMORY_2,
COU_METERING_INVALID,Operações de modo de medição
COU_METERING_INVALID_2,indisponíveis
COU_MSR_NOTUSEFUNCTION,Função não suportada
COU_MSR_NOTUSEFUNCTION_2,com este Memory Stick
COU_MS_ERROR,Reinsira o Memory Stick
COU_MS_ERROR_2,
COU_MS_LOCKED,Memory Stick bloqueado
COU_MS_LOCKED_2,
COU_MS_TYPEERROR,Erro tipo Memory Stick
COU_MS_TYPEERROR_2,
