[dut.csv]
ID_STR_O_BR_TEXT_URL,"アドレス"
ID_STR_O_BR_TEXT_USE_CACHE,"キャッシュを使用する"
ID_STR_O_BR_TEXT_WORDWRAP,"ワードラップ"
ID_STR_O_BR_TITLE_BOOKMARKLIST,"ブックマーク一覧"
ID_STR_O_BR_TITLE_BROWSERSETTING,"Webブラウザ設定"
ID_STR_O_BR_TITLE_BROWSERTOP,"画像アップロード／閲覧"
ID_STR_O_BR_TITLE_BROWSER_UPLOAD,"アップロード"
ID_STR_O_BR_TITLE_CACERT,"CA証明書"
ID_STR_O_BR_TITLE_CACHE,"キャッシュ"
ID_STR_O_BR_TITLE_CHANGE_TAB,"タブ切り替え"
ID_STR_O_BR_TITLE_CHARSET,"文字コード"
ID_STR_O_BR_TITLE_COOKIE,"Cookie"
ID_STR_O_BR_TITLE_DETAILE_INFORMATION,"詳細表示"
ID_STR_O_BR_TITLE_HISTORY_LIST,"履歴"
ID_STR_O_BR_TITLE_HOMEPAGE,"ホームページ"
ID_STR_O_BR_TITLE_LAYOUTMODE,"Webブラウザ表示モード"
ID_STR_O_BR_TITLE_PROXY_SETTING,"プロキシ"
ID_STR_O_BR_TITLE_ROOTCERT,"ルート証明書"
ID_STR_O_BR_TITLE_SECURUTY,"セキュリティ"
ID_STR_O_BR_TITLE_TEXTSIZE,"文字サイズ"
ID_STR_O_BR_TITLE_URLHISTORY,"履歴一覧"
ID_STR_O_DLNA_CDS_PHOTOALLALBUMS,"アルバム"
ID_STR_O_DLNA_CDS_PHOTOALLDATETIME,"日付"
ID_STR_O_DLNA_CDS_PHOTOALLITEMS,"全て"
ID_STR_O_DLNA_DATE_APR,"APR"
ID_STR_O_DLNA_DATE_AUG,"AUG"
ID_STR_O_DLNA_DATE_DEC,"DEC"
ID_STR_O_DLNA_DATE_FEB,"FEB"
ID_STR_O_DLNA_DATE_JAN,"JAN"
ID_STR_O_DLNA_DATE_JUL,"JUL"
ID_STR_O_DLNA_DATE_JUN,"JUN"
ID_STR_O_DLNA_DATE_MAR,"MAR"
ID_STR_O_DLNA_DATE_MAY,"MAY"
ID_STR_O_DLNA_DATE_NOV,"NOV"
ID_STR_O_DLNA_DATE_OCT,"OCT"
ID_STR_O_DLNA_DATE_SEP,"SEP"
ID_STR_O_GENERIC_BUTTON_ALBUM,"イベントビュー"
ID_STR_O_GENERIC_BUTTON_AP_SELECT,"接続先アクセスポイント"
ID_STR_O_GENERIC_BUTTON_CANCEL,"キャンセル"
ID_STR_O_GENERIC_BUTTON_CONNECT,"接続"
ID_STR_O_GENERIC_BUTTON_EXECUTION,"実行"
ID_STR_O_GENERIC_BUTTON_EXIT,"終了"
ID_STR_O_GENERIC_BUTTON_FOLDER,"フォルダビュー"
ID_STR_O_GENERIC_BUTTON_MY_FAVORITE,"お気に入り"
ID_STR_O_GENERIC_BUTTON_NEWCREATE,"新規作成"
ID_STR_O_GENERIC_BUTTON_NEWENTRY,"新規登録"
ID_STR_O_GENERIC_BUTTON_NOT_USE,"使用しない"
ID_STR_O_GENERIC_BUTTON_OFF,"切"
ID_STR_O_GENERIC_BUTTON_OK,"OK"
ID_STR_O_GENERIC_BUTTON_ON,"入"
ID_STR_O_GENERIC_BUTTON_RECONNECT,"再接続"
ID_STR_O_GENERIC_BUTTON_SHAREMARK,"シェアマーク"
ID_STR_O_GENERIC_BUTTON_START,"実行"
ID_STR_O_GENERIC_BUTTON_USE,"使用する"
ID_STR_O_GENERIC_CONNECTION_CANCEL,"ネットワークに接続できません\n\nしばらくしてから再度選択して\nください　"
ID_STR_O_GENERIC_MENU_ALL_DELEATE,"全て削除"
ID_STR_O_GENERIC_MENU_CLOSE,"メニューを閉じる"
ID_STR_O_GENERIC_MENU_DELEATE,"削除"
ID_STR_O_GENERIC_MENU_EDIT,"編集"
ID_STR_O_GENERIC_MENU_OPEN,"開く"
ID_STR_O_GENERIC_MENU_SELECT,"選択"
ID_STR_O_GENERIC_MENU_VIEW,"表示"
ID_STR_O_GENERIC_TEXT_AP_CONNECT,"接続中"
ID_STR_O_GENERIC_TEXT_AP_DISCONNECT,"アクセスポイントに再接続中"
ID_STR_O_GENERIC_TEXT_CONNECTION_ERROR,"接続できません"
ID_STR_O_GENERIC_TEXT_DB_ERROR,"管理ファイルエラー"
ID_STR_O_GENERIC_TEXT_FILESELECT_ERROR,"不明なエラーが発生しました"
ID_STR_O_GENERIC_TEXT_FILE_ERROR,"ファイルエラー"
ID_STR_O_GENERIC_TEXT_FOLDER,"再生フォルダ選択"
ID_STR_O_GENERIC_TEXT_GENERICERROR,"不明なエラーが発生しました"
ID_STR_O_GENERIC_TEXT_INTMEM_ACCESS_ERROR,"内蔵メモリーエラー"
ID_STR_O_GENERIC_TEXT_INTMEM_MOUNT,"内蔵メモリーにアクセス中です\n\nしばらくしてから再度選択して\nください"
ID_STR_O_GENERIC_TEXT_INTMEM_NOFORMAT_ERROR,"内蔵メモリーフォーマットエラー"
ID_STR_O_GENERIC_TEXT_MEMORYCRISIS,"システムメモリーの空き容量が\n足りません"
ID_STR_O_GENERIC_TEXT_MS_ACCESS_ERROR,"アクセス禁止のメモリースティック\nです"
ID_STR_O_GENERIC_TEXT_MS_DETECT_ERROR,"メモリースティックを入れ直して\nください"
ID_STR_O_GENERIC_TEXT_MS_INSERT,"メモリースティックが\n挿入されました"
ID_STR_O_GENERIC_TEXT_MS_MOUNT,"メモリースティックにアクセス中です\n\nしばらくしてから再度選択して\nください"
ID_STR_O_GENERIC_TEXT_MS_NOFORMAT_ERROR,"メモリースティックが正しく\nフォーマットされていません"
ID_STR_O_GENERIC_TEXT_MS_NOSUPPORT_ERROR,"非対応のメモリースティックです"
ID_STR_O_GENERIC_TEXT_MS_REMOVED,"メモリースティックが\n抜かれました"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE,"お気に入り"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE01,"お気に入り１"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE02,"お気に入り２"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE03,"お気に入り３"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE04,"お気に入り４"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE05,"お気に入り５"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE06,"お気に入り６"
ID_STR_O_GENERIC_TEXT_NETWORK_CONNECT_ERROR,"ネットワークに接続できません"
ID_STR_O_GENERIC_TEXT_NO_IMAGE,"画像がありません"
ID_STR_O_GENERIC_TEXT_SHAREMARK,"シェアマーク"
ID_STR_O_GENERIC_TEXT_SHAREMARK01,"シェアマーク１"
ID_STR_O_GENERIC_TEXT_SHAREMARK02,"シェアマーク２"
ID_STR_O_GENERIC_TEXT_SHAREMARK03,"シェアマーク３"
ID_STR_O_GENERIC_TEXT_SHAREMARK04,"シェアマーク４"
ID_STR_O_GENERIC_TEXT_SHAREMARK05,"シェアマーク５"
ID_STR_O_GENERIC_TEXT_SHAREMARK06,"シェアマーク６"
ID_STR_O_GENERIC_TEXT_TOUCH_IMAGE,"画像をタッチします"
ID_STR_O_GENERIC_TITLE_AP_SELECT,"接続先アクセスポイント"
ID_STR_O_KB_MENU_ADDRESS_EDIT,"編集"
ID_STR_O_KB_MENU_SHOWADDRESS,"メールアドレス表示"
ID_STR_O_KB_MENU_SHOWNICKNAME,"名前表示"
ID_STR_O_KB_TEXT_ADDRESS,"メールアドレス"
ID_STR_O_KB_TEXT_ADDRESSBOOK_EDIT,"アドレス帳編集"
ID_STR_O_KB_TEXT_DELEATE,"削除"
ID_STR_O_KB_TEXT_INPUT_CANCEL,"入力を中止します\n\n入力中の文字は反映されません"
ID_STR_O_KB_TEXT_INPUT_REQUIRED_ERROR,"名前もしくはメールアドレスが\n入力されていません"
ID_STR_O_KB_TEXT_NICKNAME,"名前"
ID_STR_O_KB_TEXT_NOTOPEN_ADDRESS,"文字数がオーバーしました\n\n入力可能な文字数で表示します"
ID_STR_O_KB_TEXT_NO_ADDRESS,"登録されたメールアドレスが\nありません"
ID_STR_O_KB_TEXT_OVER_CHARACTERS,"文字数がオーバーしました\n\n入力可能な文字数で表示します"
ID_STR_O_KB_TITLE_ADDRESSBOOK,"アドレス帳"
ID_STR_O_NT_BUTTON_BROWSER,"画像アップロード／閲覧"
ID_STR_O_NT_BUTTON_NWSETTING,"ネットワーク設定"
ID_STR_O_NT_BUTTON_SHAREDIMAGE,"他機器から見る"
ID_STR_O_NT_BUTTON_SLIDESHOW,"他機器へ送る"
ID_STR_O_NT_GUIDE_BROWSER,"Webブラウザを使って画像を\nアップロード/閲覧します"
ID_STR_O_NT_GUIDE_NWSETTING,"ネットワーク機能の設定を\n変更します"
ID_STR_O_NT_GUIDE_SHAREDIMAGE,"他機器から本機を操作して\n画像を見る"
ID_STR_O_NT_GUIDE_SLIDESHOW,"本機を操作し他機器に\n画像を送信して見る"
ID_STR_O_NT_TEXT_AP_NOSETTING,"アクセスポイントが\n設定されていません\nネットワーク設定で\nアクセスポイントを設定してください"
ID_STR_O_NT_TITLE_NETWORKTOP,"ネットワーク"
ID_STR_O_NW_BUTTON_ACCESS_POINT,"アクセスポイント"
ID_STR_O_NW_BUTTON_AP_PROFILE_NAME,"接続名"
ID_STR_O_NW_BUTTON_AUTO,"自動"
ID_STR_O_NW_BUTTON_AUTO_DETECT,"自動検索"
ID_STR_O_NW_BUTTON_CITY_NAME2_00,"GMT +12.0 ウェリントン"
ID_STR_O_NW_BUTTON_CITY_NAME2_01,"GMT +12.0 フィジー"
ID_STR_O_NW_BUTTON_CITY_NAME2_02,"GMT +11.0 ニューカレドニア"
ID_STR_O_NW_BUTTON_CITY_NAME2_03,"GMT +10.0 シドニー"
ID_STR_O_NW_BUTTON_CITY_NAME2_04,"GMT +10.0 メルボルン"
ID_STR_O_NW_BUTTON_CITY_NAME2_05,"GMT +9.5 ダーウィン"
ID_STR_O_NW_BUTTON_CITY_NAME2_06,"GMT +9.5 アデレード"
ID_STR_O_NW_BUTTON_CITY_NAME2_07,"GMT +9.0 東京"
ID_STR_O_NW_BUTTON_CITY_NAME2_08,"GMT +9.0 ソウル"
ID_STR_O_NW_BUTTON_CITY_NAME2_09,"GMT +8.0 シンガポール"
ID_STR_O_NW_BUTTON_CITY_NAME2_10,"GMT +8.0 香港"
ID_STR_O_NW_BUTTON_CITY_NAME2_11,"GMT +8.0 北京"
ID_STR_O_NW_BUTTON_CITY_NAME2_12,"GMT +7.0 ジャカルタ"
ID_STR_O_NW_BUTTON_CITY_NAME2_13,"GMT +7.0 バンコク"
ID_STR_O_NW_BUTTON_CITY_NAME2_14,"GMT +6.5 ラングーン"
ID_STR_O_NW_BUTTON_CITY_NAME2_15,"GMT +6.0 ダッカ"
ID_STR_O_NW_BUTTON_CITY_NAME2_16,"GMT +6.0 アルマトイ"
ID_STR_O_NW_BUTTON_CITY_NAME2_17,"GMT +5.5 ニューデリー"
ID_STR_O_NW_BUTTON_CITY_NAME2_18,"GMT +5.5 カルカッタ"
ID_STR_O_NW_BUTTON_CITY_NAME2_19,"GMT +5.0 カラチ"
ID_STR_O_NW_BUTTON_CITY_NAME2_20,"GMT +5.0 イスラマバード"
ID_STR_O_NW_BUTTON_CITY_NAME2_21,"GMT +4.5 カブール"
ID_STR_O_NW_BUTTON_CITY_NAME2_22,"GMT +4.0 バク"
ID_STR_O_NW_BUTTON_CITY_NAME2_23,"GMT +4.0 アブダビ"
ID_STR_O_NW_BUTTON_CITY_NAME2_24,"GMT +3.5 テヘラン"
ID_STR_O_NW_BUTTON_CITY_NAME2_25,"GMT +3.0 ナイロビ"
ID_STR_O_NW_BUTTON_CITY_NAME2_26,"GMT +3.0 モスクワ"
ID_STR_O_NW_BUTTON_CITY_NAME2_27,"GMT +2.0 イスタンブール"
ID_STR_O_NW_BUTTON_CITY_NAME2_28,"GMT +2.0 ヘルシンキ"
ID_STR_O_NW_BUTTON_CITY_NAME2_29,"GMT +2.0 カイロ"
ID_STR_O_NW_BUTTON_CITY_NAME2_30,"GMT +1.0 パリ"
ID_STR_O_NW_BUTTON_CITY_NAME2_31,"GMT +1.0 ベルリン"
ID_STR_O_NW_BUTTON_CITY_NAME2_32,"GMT +0.0 ロンドン"
ID_STR_O_NW_BUTTON_CITY_NAME2_33,"GMT +0.0 リスボン"
ID_STR_O_NW_BUTTON_CITY_NAME2_34,"GMT -1.0 アゾレス"
ID_STR_O_NW_BUTTON_CITY_NAME2_35,"GMT -1.0 カボベルテ"
ID_STR_O_NW_BUTTON_CITY_NAME2_36,"GMT -2.0 ﾌｪﾙﾅﾝﾄﾞﾃﾞﾉﾛｰﾆｬ"
ID_STR_O_NW_BUTTON_CITY_NAME2_37,"GMT -3.0 ブラジリア"
ID_STR_O_NW_BUTTON_CITY_NAME2_38,"GMT -3.0 ブエノスアイレス"
ID_STR_O_NW_BUTTON_CITY_NAME2_39,"GMT -3.5 ニューファンドランド"
ID_STR_O_NW_BUTTON_CITY_NAME2_40,"GMT -4.0 サンティアゴ"
ID_STR_O_NW_BUTTON_CITY_NAME2_41,"GMT -5.0 ボゴタ"
ID_STR_O_NW_BUTTON_CITY_NAME2_42,"GMT -5.0 ニューヨーク"
ID_STR_O_NW_BUTTON_CITY_NAME2_43,"GMT -6.0 シカゴ"
ID_STR_O_NW_BUTTON_CITY_NAME2_44,"GMT -6.0 メキシコシティ"
ID_STR_O_NW_BUTTON_CITY_NAME2_45,"GMT -7.0 アリゾナ"
ID_STR_O_NW_BUTTON_CITY_NAME2_46,"GMT -7.0 デンバー"
ID_STR_O_NW_BUTTON_CITY_NAME2_47,"GMT -8.0 サンフランシスコ"
ID_STR_O_NW_BUTTON_CITY_NAME2_48,"GMT -8.0 ティファナ"
ID_STR_O_NW_BUTTON_CITY_NAME2_49,"GMT -9.0 アラスカ"
ID_STR_O_NW_BUTTON_CITY_NAME2_50,"GMT -10.0 ハワイ"
ID_STR_O_NW_BUTTON_CITY_NAME2_51,"GMT -11.0 サモア"
ID_STR_O_NW_BUTTON_CITY_NAME2_52,"GMT -12.0 エニウェトク"
ID_STR_O_NW_BUTTON_CITY_NAME2_53,"GMT -12.0 クエジェリン"
ID_STR_O_NW_BUTTON_CITY_NAME_00,"ウェリントン"
ID_STR_O_NW_BUTTON_CITY_NAME_01,"フィジー"
ID_STR_O_NW_BUTTON_CITY_NAME_02,"ニューカレドニア"
ID_STR_O_NW_BUTTON_CITY_NAME_03,"シドニー"
ID_STR_O_NW_BUTTON_CITY_NAME_04,"メルボルン"
ID_STR_O_NW_BUTTON_CITY_NAME_05,"ダーウィン"
ID_STR_O_NW_BUTTON_CITY_NAME_06,"アデレード"
ID_STR_O_NW_BUTTON_CITY_NAME_07,"東京"
ID_STR_O_NW_BUTTON_CITY_NAME_08,"ソウル"
ID_STR_O_NW_BUTTON_CITY_NAME_09,"シンガポール"
ID_STR_O_NW_BUTTON_CITY_NAME_10,"香港"
ID_STR_O_NW_BUTTON_CITY_NAME_11,"北京"
ID_STR_O_NW_BUTTON_CITY_NAME_12,"ジャカルタ"
ID_STR_O_NW_BUTTON_CITY_NAME_13,"バンコク"
ID_STR_O_NW_BUTTON_CITY_NAME_14,"ラングーン"
ID_STR_O_NW_BUTTON_CITY_NAME_15,"ダッカ"
ID_STR_O_NW_BUTTON_CITY_NAME_16,"アルマトイ"
ID_STR_O_NW_BUTTON_CITY_NAME_17,"ニューデリー"
ID_STR_O_NW_BUTTON_CITY_NAME_18,"カルカッタ"
ID_STR_O_NW_BUTTON_CITY_NAME_19,"カラチ"
ID_STR_O_NW_BUTTON_CITY_NAME_20,"イスラマバード"
ID_STR_O_NW_BUTTON_CITY_NAME_21,"カブール"
ID_STR_O_NW_BUTTON_CITY_NAME_22,"バク"
ID_STR_O_NW_BUTTON_CITY_NAME_23,"アブダビ"
ID_STR_O_NW_BUTTON_CITY_NAME_24,"テヘラン"
ID_STR_O_NW_BUTTON_CITY_NAME_25,"ナイロビ"
ID_STR_O_NW_BUTTON_CITY_NAME_26,"モスクワ"
ID_STR_O_NW_BUTTON_CITY_NAME_27,"イスタンブール"
ID_STR_O_NW_BUTTON_CITY_NAME_28,"ヘルシンキ"
ID_STR_O_NW_BUTTON_CITY_NAME_29,"カイロ"
ID_STR_O_NW_BUTTON_CITY_NAME_30,"パリ"
ID_STR_O_NW_BUTTON_CITY_NAME_31,"ベルリン"
ID_STR_O_NW_BUTTON_CITY_NAME_32,"ロンドン"
ID_STR_O_NW_BUTTON_CITY_NAME_33,"リスボン"
ID_STR_O_NW_BUTTON_CITY_NAME_34,"アゾレス"
ID_STR_O_NW_BUTTON_CITY_NAME_35,"カボベルテ"
ID_STR_O_NW_BUTTON_CITY_NAME_36,"ﾌｪﾙﾅﾝﾄﾞﾃﾞﾉﾛｰﾆｬ"
ID_STR_O_NW_BUTTON_CITY_NAME_37,"ブラジリア"
ID_STR_O_NW_BUTTON_CITY_NAME_38,"ブエノスアイレス"
ID_STR_O_NW_BUTTON_CITY_NAME_39,"ニューファンドランド"
ID_STR_O_NW_BUTTON_CITY_NAME_40,"サンティアゴ"
ID_STR_O_NW_BUTTON_CITY_NAME_41,"ボゴタ"
ID_STR_O_NW_BUTTON_CITY_NAME_42,"ニューヨーク"
ID_STR_O_NW_BUTTON_CITY_NAME_43,"シカゴ"
ID_STR_O_NW_BUTTON_CITY_NAME_44,"メキシコシティ"
ID_STR_O_NW_BUTTON_CITY_NAME_45,"アリゾナ"
ID_STR_O_NW_BUTTON_CITY_NAME_46,"デンバー"
ID_STR_O_NW_BUTTON_CITY_NAME_47,"サンフランシスコ"
ID_STR_O_NW_BUTTON_CITY_NAME_48,"ティファナ"
ID_STR_O_NW_BUTTON_CITY_NAME_49,"アラスカ"
ID_STR_O_NW_BUTTON_CITY_NAME_50,"ハワイ"
ID_STR_O_NW_BUTTON_CITY_NAME_51,"サモア"
ID_STR_O_NW_BUTTON_CITY_NAME_52,"エニウェトク"
ID_STR_O_NW_BUTTON_CITY_NAME_53,"クエジェリン"
ID_STR_O_NW_BUTTON_CUSTOM_SETTING,"カスタム"
ID_STR_O_NW_BUTTON_DONOT_SAVE_AND_EXIT,"保存せずに終了"
ID_STR_O_NW_BUTTON_EASY_SETTING,"かんたん"
ID_STR_O_NW_BUTTON_GATEWAY,"ゲートウェイ"
ID_STR_O_NW_BUTTON_HTTPS_PORT,"HTTPSポート"
ID_STR_O_NW_BUTTON_HTTP_PORT,"HTTPポート"
ID_STR_O_NW_BUTTON_ID,"ID"
ID_STR_O_NW_BUTTON_IPADDRESS,"IPアドレス"
ID_STR_O_NW_BUTTON_MANUAL,"手動"
ID_STR_O_NW_BUTTON_MANUAL_SETTING,"手動設定"
ID_STR_O_NW_BUTTON_NETWORK_INITIALIZATION,"設定リセット"
ID_STR_O_NW_BUTTON_NICKNAME,"ニックネーム"
ID_STR_O_NW_BUTTON_NOT_USE,"使用しない"
ID_STR_O_NW_BUTTON_NW_POWERSAVING,"ネットワーク省電力"
ID_STR_O_NW_BUTTON_PASSWORD,"パスワード"
ID_STR_O_NW_BUTTON_PPPOE,"PPPoE"
ID_STR_O_NW_BUTTON_PRIMARY_DNS,"優先DNSサーバ"
ID_STR_O_NW_BUTTON_PROXY_SERVER,"プロキシサーバ"
ID_STR_O_NW_BUTTON_SAVE_AND_EXIT,"保存"
ID_STR_O_NW_BUTTON_SECONDARY_DNS,"代替DNSサーバ"
ID_STR_O_NW_BUTTON_SECURITY_KEY,"暗号キー"
ID_STR_O_NW_BUTTON_SSID,"SSID"
ID_STR_O_NW_BUTTON_SUBNETMASK,"サブネットマスク"
ID_STR_O_NW_BUTTON_TIMEZONE,"タイムゾーン"
ID_STR_O_NW_BUTTON_WEP,"WEP"
ID_STR_O_NW_BUTTON_WPA2_PSK_AES,"WPA2-PSK(AES)"
ID_STR_O_NW_BUTTON_WPA_PSK_AES,"WPA-PSK(AES)"
ID_STR_O_NW_BUTTON_WPA_PSK_TKIP,"WPA-PSK(TKIP)"
ID_STR_O_NW_GUIDE_AP_DELEATE,"アクセスポイントを削除します"
ID_STR_O_NW_GUIDE_BUTTON_OK,"OK"
ID_STR_O_NW_GUIDE_DETAILE_INFORMATION,"アクセスポイントを選択して\n詳細情報を表示します"
ID_STR_O_NW_GUIDE_NETWORK_INITIALIZATION,"お買いあげ時のネットワーク設定に戻します"
ID_STR_O_NW_GUIDE_NICKNAME,"本機のニックネームを設定します"
ID_STR_O_NW_GUIDE_NW_NEWCREATE,"アクセスポイントの作成/編集をします"
ID_STR_O_NW_GUIDE_NW_POWERSAVING,"ネットワーク接続時、電池の消耗を防ぎます"
ID_STR_O_NW_GUIDE_TIMEZONE,"Webブラウザに使用するタイムゾーンを設定します"
ID_STR_O_NW_SUBMENU_AP_DELEATE01,"削除"
ID_STR_O_NW_SUBMENU_AP_DELEATE02,"このアクセスポイント"
ID_STR_O_NW_SUBMENU_DETAILE_INFORMATION01,"詳細情報表示"
ID_STR_O_NW_SUBMENU_DETAILE_INFORMATION02,"アクセスポイント情報表示"
ID_STR_O_NW_TEXT_AP_NOT_FOUND,"アクセスポイントが見つかりません"
ID_STR_O_NW_TEXT_AP_PROFILE_NAME,"接続名"
ID_STR_O_NW_TEXT_AP_PROFILE_NAME_ERROR,"接続名を入力してください"
ID_STR_O_NW_TEXT_AP_SELECT,"アクセスポイントを選択してください"
ID_STR_O_NW_TEXT_AP_SERARCHING,"検索中"
ID_STR_O_NW_TEXT_AUTO_OPERATION,"自動取得"
ID_STR_O_NW_TEXT_CONNECTION_TEST,"接続テスト"
ID_STR_O_NW_TEXT_CONNECT_FAILURE,"接続できません"
ID_STR_O_NW_TEXT_DELEATE,"削除"
ID_STR_O_NW_TEXT_GATEWAY,"ゲートウェイ"
ID_STR_O_NW_TEXT_HTTP_PORT_ERROR,"ポート番号を正しく入力してください"
ID_STR_O_NW_TEXT_ID_STR_O_NOCREATE_AP_PROFILE,"これ以上作成できません"
ID_STR_O_NW_TEXT_ID_STR_O_NOCREATE_NEWTAB,"これ以上タブを開くことが\nできません\n開いているタブを表示します"
ID_STR_O_NW_TEXT_INIT_MESSAGE,"設定リセットが完了しました"
ID_STR_O_NW_TEXT_IPADDRESS,"IPアドレス"
ID_STR_O_NW_TEXT_IPADDRESS_ERROR,"IPアドレスを正しく入力してください"
ID_STR_O_NW_TEXT_NICKNAME_ERROR,"ニックネームを入力してください"
ID_STR_O_NW_TEXT_NO_AP_SETTING,"設定済みのアクセスポイントが\nありません"
ID_STR_O_NW_TEXT_PPPOE,"PPPoE"
ID_STR_O_NW_TEXT_PRIMARY_DNS,"優先DNSサーバ"
ID_STR_O_NW_TEXT_PROXY_SETTING,"プロキシ"
ID_STR_O_NW_TEXT_SECONDARY_DNS,"代替DNSサーバ"
ID_STR_O_NW_TEXT_SECURITY_KEY,"暗号キー"
ID_STR_O_NW_TEXT_SECURITY_KEY_ERROR,"暗号キーは5文字から\n26文字で入力してください"
ID_STR_O_NW_TEXT_SECURITY_KEY_LENGTH_ERROR,"暗号キーは8文字から\n64文字で入力してください"
ID_STR_O_NW_TEXT_SECURITY_MODE,"暗号化方式"
ID_STR_O_NW_TEXT_SSID,"SSID"
ID_STR_O_NW_TEXT_SSID_ERROR,"SSID を入力してください"
ID_STR_O_NW_TEXT_SUBNETMASK,"サブネットマスク"
ID_STR_O_NW_TEXT_TEST_CONNECTING,"接続テスト中"
ID_STR_O_NW_TEXT_TIMEZONE_ERROR,"タイムゾーンが設定されていません\n\nネットワーク設定でタイムゾーンを\n設定してください"
ID_STR_O_NW_TEXT_USE_PROXY_HTTP11,"プロキシ接続でHTTP1.1を使用する"
ID_STR_O_NW_TITLE_ACCESS_POINT,"アクセスポイント"
ID_STR_O_NW_TITLE_ADDRESS,"ネットワーク詳細設定方法の選択"
ID_STR_O_NW_TITLE_ADVANCE,"IPアドレス設定"
ID_STR_O_NW_TITLE_AP_DELEATE,"削除"
ID_STR_O_NW_TITLE_AP_PROFILE_NAME,"接続名の入力"
ID_STR_O_NW_TITLE_CHOICE_ACCESS_POINT_SSID,"アクセスポイント作成方法の選択"
ID_STR_O_NW_TITLE_CHOICE_DNS_SETTING,"DNS設定方法の選択"
ID_STR_O_NW_TITLE_CHOICE_PROXY_SETTING,"プロキシサーバ使用方法の選択"
ID_STR_O_NW_TITLE_CONNECTION_TEST,"接続テスト"
ID_STR_O_NW_TITLE_DETAILE_INFORMATION,"アクセスポイント情報表示"
ID_STR_O_NW_TITLE_DNS,"DNS"
ID_STR_O_NW_TITLE_DNS_SETTING,"DNSの設定"
ID_STR_O_NW_TITLE_IPADDRESS,"IPアドレス設定方法の選択"
ID_STR_O_NW_TITLE_LIST_ACCESS_POINT_SETTING,"アクセスポイント設定一覧"
ID_STR_O_NW_TITLE_LIST_ACCESS_POINT_SSID,"利用するアクセスポイントの選択"
ID_STR_O_NW_TITLE_NWSETTINGTOP,"ネットワーク設定"
ID_STR_O_NW_TITLE_NWSETTING_RESET,"設定リセット"
ID_STR_O_NW_TITLE_NW_POWERSAVING,"ネットワーク省電力"
ID_STR_O_NW_TITLE_PPPOE,"PPPoEの設定"
ID_STR_O_NW_TITLE_PROXY,"プロキシ"
ID_STR_O_NW_TITLE_PROXY_SETTING,"プロキシサーバの設定"
ID_STR_O_NW_TITLE_SAVE_ACCESS_POINT_SETTING,"アクセスポイント設定の保存"
ID_STR_O_NW_TITLE_SECURITY_KEY,"暗号キーの入力"
ID_STR_O_NW_TITLE_SECURITY_MODE,"ワイヤレスLANの暗号化方式の選択"
ID_STR_O_NW_TITLE_SSID,"SSIDの名称確認"
ID_STR_O_NW_TITLE_TIMEZONE,"タイムゾーン"
ID_STR_O_NW_TITLE_USED_ACCESS_POINT,"利用するアクセスポイントの選択"
ID_STR_O_SI_BUTTON_ALBUM_ALL,"イベント内全て"
ID_STR_O_SI_BUTTON_FOLDER_ALL,"フォルダ内全て"
ID_STR_O_SI_BUTTON_MY_FAVORITE_ALL,"お気に入り内全て"
ID_STR_O_SI_BUTTON_SELECT_IMAGE,"画像選択"
ID_STR_O_SI_BUTTON_SHAREMARK_ALL,"シェアマーク内全て"
ID_STR_O_SI_GUIDE_EXIT_SHAREDIMAGE,"他機器への画像公開を終了します"
ID_STR_O_SI_GUIDE_SELECTED_IMAGE_ALL_CANCEL,"選択を全て解除します"
ID_STR_O_SI_SUBMENU_EXIT_SHAREDIMAGE01,"終了"
ID_STR_O_SI_SUBMENU_EXIT_SHAREDIMAGE02,"終了"
ID_STR_O_SI_SUBMENU_SELECTED_IMAGE_CANCEL_01,"解除"
ID_STR_O_SI_SUBMENU_SELECTED_IMAGE_CANCEL_02,"全て"
ID_STR_O_SI_TEXT_EXIT_AND_RETURN_TO_HOME,"他機器への画像公開を終了して\nHOMEへ戻ります"
ID_STR_O_SI_TEXT_EXIT_SHAREDIMAGE,"他機器への画像公開を終了します"
ID_STR_O_SI_TEXT_NOT_USE_MOVIE_FILE,"動画ファイルでは\nこの操作を実行できません"
ID_STR_O_SI_TEXT_NOT_USE_PPPOE,"他機器への画像公開では\nPPPoE接続を使用できません"
ID_STR_O_SI_TEXT_NO_IMAGE,"画像がありません"
ID_STR_O_SI_TEXT_OVER_SELECTABLE_IMAGE,"制限枚数を超えています"
ID_STR_O_SI_TEXT_PUBLIC_ALL_ALBUM,"イベント内全てを公開中"
ID_STR_O_SI_TEXT_PUBLIC_ALL_ALLSHAREMARK,"シェアマーク内全てを公開中"
ID_STR_O_SI_TEXT_PUBLIC_ALL_FOLDER,"フォルダ内全てを公開中"
ID_STR_O_SI_TEXT_PUBLIC_ALL_MY_FAVORITE,"お気に入り内全てを公開中"
ID_STR_O_SI_TEXT_SELECTED_IMAGE_ALL_CANCEL,"選択を全て解除します"
