[dut.csv]
ID_STR_O_BR_TEXT_IMAGE,"Beelden"
ID_STR_O_BR_TEXT_IN_SECUREZONE,"Deze pagina is beveiligd\n\nDe gegevens zijn vóór verzending\ngecodeerd"
ID_STR_O_BR_TEXT_JAVASCRIPT,"JavaScript"
ID_STR_O_BR_TEXT_KINSOKU,"Japans tekstterugloop"
ID_STR_O_BR_TEXT_LINK_IS_MAILTO,"Kan de pagina niet goed weergeven\n\nDe pagina wordt niet ondersteund door\ndeze camera"
ID_STR_O_BR_TEXT_MEMORYCRISIS_FORCECOMEBACK,"Beschikbare geheugen is vol\n\nKan de beelden niet goed weergeven"
ID_STR_O_BR_TEXT_NETWORK_INITIALIZATION,"De netwerkinstellingen terugstellen op\nde standaardinstellingen"
ID_STR_O_BR_TEXT_NOUPLOAD_MOVIE_FILE,"Kan dit bestand met bewegende\nbeelden niet uploaden"
ID_STR_O_BR_TEXT_NO_HISTORY,"Geen historie beschikbaar"
ID_STR_O_BR_TEXT_OUT_SECUREZONE,"Deze pagina is niet beveiligd\n\nDe gegevens zijn vóór verzending niet\ngecodeerd"
ID_STR_O_BR_TEXT_PAGETITLE,"Titel"
ID_STR_O_BR_TEXT_PAGE_SEARCH,""
ID_STR_O_BR_TEXT_POPUP,"Pop-up"
ID_STR_O_BR_TEXT_PORTALPAGE_DEFAULT_TITLE,"Webportal"
ID_STR_O_BR_TEXT_POST_CONFIRM,"De gegevens moeten opnieuw worden\ngezonden om de pagina af te beelden\nGegevens opnieuw zenden"
ID_STR_O_BR_TEXT_RAPIDRENDER,"Rapid-Render"
ID_STR_O_BR_TEXT_SECUREZONE,"Omschakelen van beveiligde pagina naar\nonbeveiligde pagina bevestigen"
ID_STR_O_BR_TEXT_SELECTED_UPLOAD_FILE_CANCEL,"Selectie van alle geselecteerde\nbeelden voor uploaden opheffen"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_EXPIRED,"Kan de beveiliging van de pagina niet\nbevestigen\nHet door de server gebruikte certificaat\nis verlopen"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_INVALID_STR_O,"Kan de beveiliging van de pagina niet\nbevestigen\nHet door de server gebruikte Root CA-\ncertificaat is ongeldig"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_INVALID_STR_O_CN,"Kan de beveiliging van de pagina niet\nbevestigen\nDe naam op het servercertificaat komt\nniet overeen met de naam van de host"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_NOISSURE,"Kan de beveiliging van de pagina niet\nbevestigen\nDe server ondersteunt het certificaat\nniet"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_ROOT_EXPIRED,"Kan de beveiliging van de pagina niet\nbevestigen\nHet Root CA-certificaat is verlopen"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_SESSION_FAILED,"Kan de beveiliging van de pagina niet\nbevestigen\nFout in de server-authenticatie"
ID_STR_O_BR_TEXT_SERVERCERT_ERROR_VERIFY,"Kan de beveiliging van de pagina niet\nbevestigen\nKan de naam op het servercertificaat\nniet verifiëren"
ID_STR_O_BR_TEXT_SSL20,"SSL 2.0"
ID_STR_O_BR_TEXT_SSL30,"SSL 3.0"
ID_STR_O_BR_TEXT_SSL_VERSION,"SSL-versie"
ID_STR_O_BR_TEXT_TABLE,"Tabellen"
ID_STR_O_BR_TEXT_TEXTSEARCH_EMPTY_TEXT,"Voer trefwoorden in"
ID_STR_O_BR_TEXT_TEXTSEARCH_END,"Klaar met zoeken"
ID_STR_O_BR_TEXT_TLS10,"TLS 1.0"
ID_STR_O_BR_TEXT_UPLOADING,"Bezig met uploaden…"
ID_STR_O_BR_TEXT_UPLOAD_FILE_CHANGE,"Selecteer de beelden opnieuw"
ID_STR_O_BR_TEXT_UPLOAD_FILE_SELECT,"Selecteer de beelden die u wilt uploaden"
ID_STR_O_BR_TEXT_URL,"Adres"
ID_STR_O_BR_TEXT_USE_CACHE,"Cache gebruiken"
ID_STR_O_BR_TEXT_WORDWRAP,"Tekstterugloop"
ID_STR_O_BR_TITLE_BOOKMARKLIST,"Bladwijzerlijst"
ID_STR_O_BR_TITLE_BROWSERSETTING,"Webbrowserinstellingen"
ID_STR_O_BR_TITLE_BROWSERTOP,"Beelden uploaden/Web bekijken"
ID_STR_O_BR_TITLE_BROWSER_UPLOAD,"Uploaden"
ID_STR_O_BR_TITLE_CACERT,"CA-certificaat"
ID_STR_O_BR_TITLE_CACHE,"Cache"
ID_STR_O_BR_TITLE_CHANGE_TAB,"Tabbladen wisselen"
ID_STR_O_BR_TITLE_CHARSET,"Tekencodering"
ID_STR_O_BR_TITLE_COOKIE,"Cookie"
ID_STR_O_BR_TITLE_DETAILE_INFORMATION,"Informatie"
ID_STR_O_BR_TITLE_HISTORY_LIST,"Historie"
ID_STR_O_BR_TITLE_HOMEPAGE,"Startpagina"
ID_STR_O_BR_TITLE_LAYOUTMODE,"Weergavefunctie van webbrowser"
ID_STR_O_BR_TITLE_PROXY_SETTING,"Proxy"
ID_STR_O_BR_TITLE_ROOTCERT,"Root-certificaat"
ID_STR_O_BR_TITLE_SECURUTY,"Beveiliging"
ID_STR_O_BR_TITLE_TEXTSIZE,"Tekstgrootte"
ID_STR_O_BR_TITLE_URLHISTORY,"Historielijst"
ID_STR_O_DLNA_CDS_PHOTOALLALBUMS,"Album"
ID_STR_O_DLNA_CDS_PHOTOALLDATETIME,"Datum"
ID_STR_O_DLNA_CDS_PHOTOALLITEMS,"Alle"
ID_STR_O_DLNA_DATE_APR,"APR"
ID_STR_O_DLNA_DATE_AUG,"AUG"
ID_STR_O_DLNA_DATE_DEC,"DEC"
ID_STR_O_DLNA_DATE_FEB,"FEB"
ID_STR_O_DLNA_DATE_JAN,"JAN"
ID_STR_O_DLNA_DATE_JUL,"JUL"
ID_STR_O_DLNA_DATE_JUN,"JUN"
ID_STR_O_DLNA_DATE_MAR,"MRT"
ID_STR_O_DLNA_DATE_MAY,"MEI"
ID_STR_O_DLNA_DATE_NOV,"NOV"
ID_STR_O_DLNA_DATE_OCT,"OKT"
ID_STR_O_DLNA_DATE_SEP,"SEP"
ID_STR_O_GENERIC_BUTTON_ALBUM,"Gebeurtenisweergave"
ID_STR_O_GENERIC_BUTTON_AP_SELECT,"Accesspoint voor verbind"
ID_STR_O_GENERIC_BUTTON_CANCEL,"Annuleren"
ID_STR_O_GENERIC_BUTTON_CONNECT,"Verbinding"
ID_STR_O_GENERIC_BUTTON_EXECUTION,"OK"
ID_STR_O_GENERIC_BUTTON_EXIT,"Sluiten"
ID_STR_O_GENERIC_BUTTON_FOLDER,"Mapweergave"
ID_STR_O_GENERIC_BUTTON_MY_FAVORITE,"Favorieten"
ID_STR_O_GENERIC_BUTTON_NEWCREATE,"Nieuw aanmaken"
ID_STR_O_GENERIC_BUTTON_NEWENTRY,"Nieuw registreren"
ID_STR_O_GENERIC_BUTTON_NOT_USE,"Uitschakelen"
ID_STR_O_GENERIC_BUTTON_OFF,"Uit"
ID_STR_O_GENERIC_BUTTON_OK,"OK"
ID_STR_O_GENERIC_BUTTON_ON,"Aan"
ID_STR_O_GENERIC_BUTTON_RECONNECT,"Opn verbind"
ID_STR_O_GENERIC_BUTTON_SHAREMARK,"Upload selectie"
ID_STR_O_GENERIC_BUTTON_START,"Start"
ID_STR_O_GENERIC_BUTTON_USE,"Inschakelen"
ID_STR_O_GENERIC_CONNECTION_CANCEL,"Kan geen verbinding maken met het\nnetwerk\nSelecteer later opnieuw"
ID_STR_O_GENERIC_MENU_ALL_DELEATE,"Alles wissen"
ID_STR_O_GENERIC_MENU_CLOSE,"Menu sluiten"
ID_STR_O_GENERIC_MENU_DELEATE,"Wissen"
ID_STR_O_GENERIC_MENU_EDIT,"Bewerken"
ID_STR_O_GENERIC_MENU_OPEN,"Openen"
ID_STR_O_GENERIC_MENU_SELECT,"Selecteren"
ID_STR_O_GENERIC_MENU_VIEW,"Weergeven"
ID_STR_O_GENERIC_TEXT_AP_CONNECT,"Bezig met verbinding maken…"
ID_STR_O_GENERIC_TEXT_AP_DISCONNECT,"Bezig met opnieuw verbinding maken…"
ID_STR_O_GENERIC_TEXT_CONNECTION_ERROR,"Kan geen verbinding maken"
ID_STR_O_GENERIC_TEXT_DB_ERROR,"Fout van beeldbeheerbestand"
ID_STR_O_GENERIC_TEXT_FILESELECT_ERROR,"Een onbekende fout is opgetreden"
ID_STR_O_GENERIC_TEXT_FILE_ERROR,"Bestandsfout"
ID_STR_O_GENERIC_TEXT_FOLDER,"Map selecteren"
ID_STR_O_GENERIC_TEXT_GENERICERROR,"Een onbekende fout is opgetreden"
ID_STR_O_GENERIC_TEXT_INTMEM_ACCESS_ERROR,"Fout van intern geheugen"
ID_STR_O_GENERIC_TEXT_INTMEM_MOUNT,"Bezig met verbinding maken met intern\ngeheugen…\nSelecteer later opnieuw"
ID_STR_O_GENERIC_TEXT_INTMEM_NOFORMAT_ERROR,"Fout bij formatteren intern geheugen"
ID_STR_O_GENERIC_TEXT_MEMORYCRISIS,"Onvoldoende systeemgeheugen\nbeschikbaar"
ID_STR_O_GENERIC_TEXT_MS_ACCESS_ERROR,"Geen toegang tot de Memory Stick"
ID_STR_O_GENERIC_TEXT_MS_DETECT_ERROR,"Plaats de Memory Stick opnieuw"
ID_STR_O_GENERIC_TEXT_MS_INSERT,"De Memory Stick is geplaatst"
ID_STR_O_GENERIC_TEXT_MS_MOUNT,"Bezig met verbinding maken met\nMemory Stick…\nSelecteer later opnieuw"
ID_STR_O_GENERIC_TEXT_MS_NOFORMAT_ERROR,"Formatteer Memory Stick voor gebruik"
ID_STR_O_GENERIC_TEXT_MS_NOSUPPORT_ERROR,"Verkeerd type Memory Stick"
ID_STR_O_GENERIC_TEXT_MS_REMOVED,"De Memory Stick is verwijderd"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE,"Favorieten"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE01,"Favorieten 1"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE02,"Favorieten 2"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE03,"Favorieten 3"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE04,"Favorieten 4"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE05,"Favorieten 5"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE06,"Favorieten 6"
ID_STR_O_GENERIC_TEXT_NETWORK_CONNECT_ERROR,"Kan geen verbinding maken met het\nnetwerk"
ID_STR_O_GENERIC_TEXT_NO_IMAGE,"Geen beelden"
ID_STR_O_GENERIC_TEXT_SHAREMARK,"Upload selectie"
ID_STR_O_GENERIC_TEXT_SHAREMARK01,"Upload selectie 1"
ID_STR_O_GENERIC_TEXT_SHAREMARK02,"Upload selectie 2"
ID_STR_O_GENERIC_TEXT_SHAREMARK03,"Upload selectie 3"
ID_STR_O_GENERIC_TEXT_SHAREMARK04,"Upload selectie 4"
ID_STR_O_GENERIC_TEXT_SHAREMARK05,"Upload selectie 5"
ID_STR_O_GENERIC_TEXT_SHAREMARK06,"Upload selectie 6"
ID_STR_O_GENERIC_TEXT_TOUCH_IMAGE,"Selecteer het beeld"
ID_STR_O_GENERIC_TITLE_AP_SELECT,"Accesspoint voor verbind"
ID_STR_O_KB_MENU_ADDRESS_EDIT,"Bewerken"
ID_STR_O_KB_MENU_SHOWADDRESS,"E-mailadres weergeven"
ID_STR_O_KB_MENU_SHOWNICKNAME,"Naam weergeven"
ID_STR_O_KB_TEXT_ADDRESS,"E-mailadres"
ID_STR_O_KB_TEXT_ADDRESSBOOK_EDIT,"Adresboek bewerken"
ID_STR_O_KB_TEXT_DELEATE,"Wissen"
ID_STR_O_KB_TEXT_INPUT_CANCEL,"Invoer annuleren\n\nDe ingevoerde tekst zal niet worden\ntoegepast"
ID_STR_O_KB_TEXT_INPUT_REQUIRED_ERROR,"Er is geen naam of e-mailadres\ningevoerd"
ID_STR_O_KB_TEXT_NICKNAME,"Naam"
ID_STR_O_KB_TEXT_NOTOPEN_ADDRESS,"Aantal tekens hoger dan het toegestane\naantal\nAlleen de tekens binnen het toegestane\naantal worden afgebeeld"
ID_STR_O_KB_TEXT_NO_ADDRESS,"Er is geen e-mailadres toegevoegd"
ID_STR_O_KB_TEXT_OVER_CHARACTERS,"Aantal tekens hoger dan het toegestane\naantal\nAlleen de tekens binnen het toegestane\naantal worden afgebeeld"
ID_STR_O_KB_TITLE_ADDRESSBOOK,"Adresboek"
ID_STR_O_NT_BUTTON_BROWSER,"Beelden uploaden/Web bekijken"
ID_STR_O_NT_BUTTON_NWSETTING,"Netwerkinstellingn"
ID_STR_O_NT_BUTTON_SHAREDIMAGE,"Bekeken worden"
ID_STR_O_NT_BUTTON_SLIDESHOW,"Zenden en bekijken"
ID_STR_O_NT_GUIDE_BROWSER,"Beelden uploaden en bekijken\nmet de webbrowser"
ID_STR_O_NT_GUIDE_NWSETTING,"Netwerkinstellingen veranderen"
ID_STR_O_NT_GUIDE_SHAREDIMAGE,"Ander apparaat besturen om\nbeelden te bekijken op camera"
ID_STR_O_NT_GUIDE_SLIDESHOW,"De camera beelden laten zenden\nnaar ander apparaat om bekijken"
ID_STR_O_NT_TEXT_AP_NOSETTING,"Geen accesspoint ingesteld\n\nGebruik de netwerkinstellingen om het\naccesspoint in te stellen"
ID_STR_O_NT_TITLE_NETWORKTOP,"Netwerk"
ID_STR_O_NW_BUTTON_ACCESS_POINT,"Accesspoint"
ID_STR_O_NW_BUTTON_AP_PROFILE_NAME,"Naam van verbinding"
ID_STR_O_NW_BUTTON_AUTO,"Automatisch"
ID_STR_O_NW_BUTTON_AUTO_DETECT,"Automatisch scannen"
ID_STR_O_NW_BUTTON_CITY_NAME2_00,"GMT +12.0 Wellington"
ID_STR_O_NW_BUTTON_CITY_NAME2_01,"GMT +12.0 Fiji"
ID_STR_O_NW_BUTTON_CITY_NAME2_02,"GMT +11.0 Salomonseilanden"
ID_STR_O_NW_BUTTON_CITY_NAME2_03,"GMT +10.0 Sydney"
ID_STR_O_NW_BUTTON_CITY_NAME2_04,"GMT +10.0 Melbourne"
ID_STR_O_NW_BUTTON_CITY_NAME2_05,"GMT +9.5 Darwin"
ID_STR_O_NW_BUTTON_CITY_NAME2_06,"GMT +9.5 Adelaide"
ID_STR_O_NW_BUTTON_CITY_NAME2_07,"GMT +9.0 Tokio"
